	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9
Lflavo2a012288	660.538917161304	538.768419386538	632.878016093336	709.551995746298	597.65835699111	721.528410807891	588.845444182012	604.776781803027	541.389055588507	530.595052070615	594.194004897705	668.996085330333	506.318993312049	717.537526401449	587.219198184085	574.203962980226	601.780724363561	524.395587363839	673.481411443732
Lflavo2a012306	1071.47326654737	1127.70555798721	1023.41982982182	991.027167612598	1094.06424870487	910.951143955548	980.085081631781	1131.95654266043	1128.79618090204	1025.81710066986	1166.38082442883	1090.45092466557	1112.24172301335	1005.61293724735	1038.62948850956	1409.82483952401	1144.82600131493	1369.45606263292	1173.47401129956
Lflavo2a012247	460.652332398206	456.97159458089	492.68351885747	473.034663830865	505.366286871044	470.973795598946	492.525025825089	491.181142892935	604.551112073833	503.545108239564	532.757279082665	491.274165128727	560.863896572832	419.741779606759	459.898347066642	543.381881468365	456.487775501811	531.628629948168	568.957096387665
Lflavo2a012248	591.542532573027	624.927741515154	567.787713805255	533.630013329861	663.069241639313	650.064379665821	529.265803961235	643.97527691989	681.247894948871	587.816087097838	604.280631524055	663.918316181716	656.910356662471	548.75714765431	602.652028622563	667.811766090322	655.363939546618	625.658183544443	752.14404030036
Lflavo2a012249	950.729593517883	1050.27123050453	1062.47401119467	892.315388590041	1079.7276164532	912.673168802345	1058.53160792247	1097.55786327216	1065.63412441671	1083.03813569708	926.135717510312	1237.70622997547	1089.71230644912	951.709256076798	929.056392396371	990.872842677606	1073.72519655279	1291.09810130269	1015.07118332799
Lflavo2a012284	608.791628720096	708.905814982287	615.854398571838	552.199555918262	683.678150501075	668.145640557188	591.824426193051	735.971745051303	773.284034398917	664.804388770829	662.049493111332	700.732142509191	652.167321596316	524.014474330122	628.116198846051	753.428659178825	630.633224846746	748.619907478033	721.972073067681
Lflavo2a012282	73.0549954464115	77.4343274826806	76.1055842137555	76.2328590471229	86.0197935099649	102.460478384414	81.4255083017285	83.9967752504204	97.4500300059312	56.1806525721828	117.371655288436	74.8970949421056	81.8173548911742	80.4136883036106	87.1954919774003	81.0506587904494	51.5223222914008	67.5083974537356	115.300017639167
Lflavo2a012271	3269.21104622692	3047.20438009309	3164.39008046668	3123.59253223852	2952.4502043264	2753.51773002821	2959.12213096525	2799.89250834735	3017.34166981328	2923.47469866358	3071.83629075202	3291.66385059118	3461.22983952663	2913.44978392312	3183.02127793607	3752.30303442545	3107.8264806173	3567.0955011715	3609.8603653384
Lflavo2a012279	3966.27746111143	4334.14109036863	3745.19585472955	3838.03124971861	3473.04916296483	4085.50394902559	2909.47243078127	4909.41152106505	4690.23385158176	4325.91024805807	4632.51251966544	3719.46590136219	5233.93919550207	2933.77412272514	3916.8523652857	6180.39812241539	3363.37719918264	3564.68448697672	4658.33622667401
Lflavo2a012312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a012281	3703.48240804725	3555.43531821885	2948.08999901706	3772.54917848583	4432.70748431038	4353.2788127025	3529.10068907735	3535.06428411055	3241.11581278986	3501.92734366606	4411.52369994268	4280.55939228441	3080.60127546769	4629.53091233644	3595.84949216536	3297.96272176913	4083.65926481643	3921.51458780361	4883.54841066079
Lflavo2a012328	552.985729420754	510.412186787247	551.765485549728	613.772249764015	534.039551374365	657.813491476407	628.565204329197	443.18298560698	507.101082067901	503.545108239564	415.385623794229	450.652011939788	384.185840358557	584.103823831721	555.581895785205	364.157185269765	603.841617255217	425.544005378012	447.191657198638
Lflavo2a012297	747.799050611184	714.358936635997	702.975264711268	751.577802656891	674.717755343787	811.073702841329	892.701609307975	755.171007965685	818.399789031293	866.638585048671	728.071049211077	1014.28438743631	764.814404417498	771.441207572001	770.869880401972	655.254621770675	1009.83751691146	845.060475269083	685.334684285142
Lflavo2a012345	407.890391242464	418.79974300492	425.590438037449	484.762795991961	463.25242963179	472.695820445743	439.89634363007	451.182678487973	508.905712253196	419.27412938129	491.493806520324	344.018859818824	435.173467319724	438.2987845999	458.355064022794	481.737718444643	371.991166943914	412.283427306743	516.156153730476
Lflavo2a012334	221.194291768302	259.568590716591	297.412611993229	249.222808423286	278.668289391657	238.500441281367	224.416644831593	268.789680801345	296.861665481031	158.138133166144	262.252292285098	232.307938549243	238.33751207429	201.476054211244	224.547682879854	207.763660561434	154.566966874202	165.154472342175	300.642102068482
Lflavo2a012263	92.3333970225479	117.787427720134	97.1347587991354	111.41725553041	134.40592735932	98.155416267422	88.3764663274858	137.59471755307	101.059290376521	89.4728911334762	101.78323232044	71.0887680806426	94.8607013231005	88.3666904435282	91.8253411089436	105.02338885523	110.257769703598	86.7965110119458	127.153290480577
Lflavo2a012255	619.952808579964	675.096460729286	543.754371421964	415.371347372144	496.405891713756	448.587472590586	502.454965861886	772.770332303868	442.134395397281	549.321936261343	486.908976235619	609.33229783408	520.548098510514	453.3211219753	456.040139457023	571.920845831199	585.293581230313	785.990627497065	468.743062364837
Lflavo2a012251	862.454807353469	824.511994040937	883.225332585952	1062.37330492593	809.123682703107	1139.11943615613	1332.59795293804	795.969441658746	612.67194790766	1097.60349006764	473.154485381506	896.226254730959	793.272614814428	1604.73909845447	1037.85784698764	334.476662332418	1230.35305631865	707.632666166836	376.07202015018
Lflavo2a012262	1135.39638756298	1232.40549373844	1231.70879714368	1290.09453772054	1147.82661964859	1276.88142389988	1502.39992756726	1048.75973669811	988.035026449025	1336.89145472694	849.110568727276	1327.83663236343	1342.27892372187	1952.02019189754	1221.50852920553	734.022163412098	1475.59931042572	1160.90333478478	783.393577791349
Lflavo2a012305	45.6593721540072	38.1718515759693	48.0666847665824	42.0258069105934	43.0098967549824	29.2744223955469	53.6216761986992	54.3979115907485	20.7532471308928	29.1307087411318	34.8447101637543	35.5443840403213	52.1733857277053	64.5076840237756	31.6373023988797	62.7857215982354	43.2787507247767	60.2753548694068	46.3355211073288
Lflavo2a012343	723.447385462381	747.077666558256	817.133641031902	785.784854793421	678.301913406702	780.938268022384	746.731490767071	703.173004239234	775.99097967686	785.488753555518	768.417555716477	490.004722841572	742.284987853262	767.90653995426	692.162445165735	734.022163412098	659.48572532993	550.916743506378	690.722535576692
Lflavo2a012333	619.952808579964	762.346407188644	595.826613252428	584.451919361276	640.668253746093	628.53906908086	622.607240307119	675.97404844386	676.736319485633	784.448371100478	692.309372990382	638.529470438629	725.684365121719	560.244817411969	656.666935157236	767.127362072986	649.18126087165	747.414400380644	649.774865760913
Lflavo2a012347	596.615796145694	585.665265608443	494.686297389411	510.173749007669	495.509852198027	573.43427398336	609.698318259284	579.97773387195	623.49972901943	573.250732727272	488.742908349501	492.543607415881	371.142493926631	598.242494302686	546.322197522118	463.472781252429	717.190726296299	643.740790005265	523.699145538646
Lflavo2a012325	83.2015225917464	105.790560081972	95.1319802671944	64.5047268860271	103.940583824541	71.4640311420704	74.4745502759712	93.5964067076113	85.7199338015136	66.584477122587	79.7760469538586	31.7360571788583	69.9597672257866	50.3690135528111	54.0149065346727	97.0324788336366	53.5832151830568	71.1249187459	82.9729098898678
Lflavo2a012261	825.927309630263	957.568162391458	926.285071022682	820.969251276709	880.806843961411	773.189156211798	907.596519363169	979.962377921572	965.477149132837	784.448371100478	707.897795958377	698.193257934883	725.684365121719	719.304860210319	696.020652775354	785.392299265199	794.4742097334	788.401641691841	896.538454913896
Lflavo2a012265	910.143484936543	960.840035383684	868.204493596395	878.63256773543	1083.31177451612	876.51064701961	771.556340859061	1151.15580557481	891.487311535741	916.576942890611	1040.75647462792	943.195619355669	1036.35316195487	805.020549940542	786.30271084045	1569.64303995589	796.535102625056	851.088010756024	1302.78244229676
Lflavo2a012242	87.2601334498804	119.968676381618	83.1153090755488	41.0484625638354	93.1881096357953	52.5217578273047	70.5025742612527	77.5970209456265	53.2365904662032	99.8767156838805	130.209180085608	64.741556644871	125.690429253108	55.6710149794228	43.9835667496621	69.6350730453157	22.6698218082163	83.1799897197814	71.1196370484581
