Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	TALLY
OG0005330	1	0	0	1
OG0005345	0	1	0	1
OG0005350	0	0	1	1
OG0005355	1	0	0	1
OG0005360	1	0	0	1
OG0005368	1	0	0	1
OG0005383	0	0	1	1
OG0005393	0	1	0	1
OG0005394	0	1	0	1
OG0005396	0	1	0	1
OG0005399	1	0	0	1
OG0005402	1	0	0	1
OG0005405	1	0	0	1
OG0005410	1	0	0	1
OG0005412	0	1	0	1
OG0005417	0	1	0	1
OG0005423	1	0	0	1
OG0005424	0	0	1	1
OG0005425	1	0	0	1
OG0005427	1	0	0	1
OG0005433	1	0	0	1
OG0005439	0	0	1	1
OG0005446	0	0	1	1
OG0005452	0	1	0	1
OG0005479	0	1	0	1
OG0005486	0	1	0	1
OG0005492	0	1	0	1
OG0005512	0	1	0	1
OG0005576	1	0	0	1
OG0005587	1	0	0	1
OG0005590	0	1	0	1
OG0005594	0	1	0	1
OG0005599	1	0	0	1
OG0005605	0	1	0	1
OG0005613	1	0	0	1
OG0005623	1	0	0	1
OG0005637	0	1	0	1
OG0005654	1	0	0	1
OG0005661	1	0	0	1
OG0005683	0	0	1	1
OG0005704	0	0	1	1
OG0005705	0	0	1	1
OG0005711	0	0	1	1
OG0005716	1	0	0	1
OG0005726	0	0	1	1
OG0005751	1	0	0	1
OG0005777	0	0	1	1
OG0005782	1	0	0	1
OG0005788	1	0	0	1
OG0005792	0	1	0	1
OG0005794	1	0	0	1
OG0005795	0	0	1	1
OG0005807	0	0	1	1
OG0005812	0	0	1	1
OG0005840	0	0	1	1
OG0005841	0	1	0	1
OG0005842	0	0	1	1
OG0005845	1	0	0	1
OG0005857	1	0	0	1
OG0005870	1	0	0	1
OG0005873	0	0	1	1
OG0005884	0	0	1	1
OG0005902	0	0	1	1
OG0005903	0	1	0	1
OG0005916	0	1	0	1
OG0005926	0	0	1	1
OG0005936	1	0	0	1
OG0005942	0	1	0	1
OG0005946	0	1	0	1
OG0005947	1	0	0	1
OG0005969	1	0	0	1
OG0005972	1	0	0	1
OG0005978	1	0	0	1
OG0005981	0	0	1	1
OG0005993	1	0	0	1
OG0006027	0	1	0	1
OG0006043	0	1	0	1
OG0006052	1	0	0	1
OG0006061	0	1	0	1
OG0006073	0	1	0	1
OG0006077	0	0	1	1
OG0006099	1	0	0	1
OG0006101	0	0	1	1
OG0006102	1	0	0	1
OG0006114	1	0	0	1
OG0006120	1	0	0	1
OG0006121	1	0	0	1
OG0006129	0	0	1	1
OG0006134	1	0	0	1
OG0006140	1	0	0	1
OG0006150	1	0	0	1
OG0006162	1	0	0	1
OG0006176	1	0	0	1
OG0006193	0	0	1	1
OG0006195	1	0	0	1
OG0006209	1	0	0	1
OG0006210	1	0	0	1
OG0006215	1	0	0	1
OG0006219	0	0	1	1
OG0006221	0	0	1	1
OG0006227	1	0	0	1
OG0006241	1	0	0	1
OG0006245	0	0	1	1
OG0006255	0	1	0	1
OG0006260	1	0	0	1
OG0006261	0	1	0	1
OG0006271	1	0	0	1
OG0006272	1	0	0	1
OG0006280	1	0	0	1
OG0006283	1	0	0	1
OG0006285	0	1	0	1
OG0006290	1	0	0	1
OG0006311	1	0	0	1
OG0006326	1	0	0	1
OG0006328	1	0	0	1
OG0006330	1	0	0	1
OG0006335	0	0	1	1
OG0006346	0	1	0	1
OG0006354	1	0	0	1
OG0006357	0	0	1	1
OG0006364	1	0	0	1
OG0006380	0	0	1	1
OG0006385	0	0	1	1
OG0006387	1	0	0	1
OG0006401	1	0	0	1
OG0006403	1	0	0	1
OG0006411	1	0	0	1
OG0006428	1	0	0	1
OG0006431	1	0	0	1
OG0006448	1	0	0	1
OG0006449	0	0	1	1
OG0006463	1	0	0	1
OG0006464	0	1	0	1
OG0006471	0	1	0	1
OG0006483	0	1	0	1
OG0006518	1	0	0	1
OG0006529	1	0	0	1
OG0006533	0	0	1	1
OG0006535	0	0	1	1
OG0006541	1	0	0	1
OG0006547	0	0	1	1
OG0006553	1	0	0	1
OG0006559	1	0	0	1
OG0006564	1	0	0	1
OG0006570	1	0	0	1
OG0006587	1	0	0	1
OG0006609	0	0	1	1
OG0006613	0	1	0	1
OG0006620	0	1	0	1
OG0006636	0	1	0	1
OG0006645	0	0	1	1
OG0006650	0	0	1	1
OG0006661	0	0	1	1
OG0006686	0	1	0	1
OG0006793	1	0	0	1
OG0006810	0	0	1	1
OG0006813	1	0	0	1
OG0006822	1	0	0	1
OG0006829	1	0	0	1
OG0006836	1	0	0	1
OG0006842	1	0	0	1
OG0006843	1	0	0	1
OG0006847	1	0	0	1
OG0006857	1	0	0	1
OG0006858	0	0	1	1
OG0006873	0	0	1	1
OG0006876	1	0	0	1
OG0006897	1	0	0	1
OG0006954	0	0	1	1
OG0006957	1	0	0	1
OG0006972	0	1	0	1
OG0007021	1	0	0	1
OG0007023	1	0	0	1
OG0007044	1	0	0	1
OG0007052	1	0	0	1
OG0007059	1	0	0	1
OG0007101	1	0	0	1
OG0007125	0	1	0	1
OG0007145	1	0	0	1
OG0007161	1	0	0	1
OG0007162	0	1	0	1
OG0007166	1	0	0	1
OG0007190	1	0	0	1
OG0007204	0	0	1	1
OG0007212	1	0	0	1
