Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata	Tally
OG0002126	0	0	0	0	0	1	1
OG0002127	1	0	0	0	0	0	1
OG0002133	0	0	0	0	1	0	1
OG0002136	0	0	0	0	0	1	1
OG0002137	0	0	0	0	0	1	1
OG0002151	1	0	0	0	0	0	1
OG0002155	0	0	0	0	0	1	1
OG0002163	0	0	0	0	1	0	1
OG0002173	1	0	0	0	0	0	1
OG0002174	0	0	0	0	1	0	1
OG0002176	0	1	0	0	0	0	1
OG0002188	1	0	0	0	0	0	1
OG0002196	0	0	0	0	0	1	1
OG0002204	0	0	0	0	1	0	1
OG0002206	1	0	0	0	0	0	1
OG0002207	0	0	0	0	1	0	1
OG0002216	0	1	0	0	0	0	1
OG0002217	1	0	0	0	0	0	1
OG0002224	0	0	1	0	0	0	1
OG0002226	1	0	0	0	0	0	1
OG0002228	0	1	0	0	0	0	1
OG0002230	0	1	0	0	0	0	1
OG0002234	0	0	0	0	1	0	1
OG0002235	0	0	0	0	1	0	1
OG0002239	0	1	0	0	0	0	1
OG0002243	0	0	0	0	0	1	1
OG0002245	1	0	0	0	0	0	1
OG0002250	0	0	0	0	1	0	1
OG0002258	1	0	0	0	0	0	1
OG0002260	1	0	0	0	0	0	1
OG0002266	0	0	0	0	1	0	1
OG0002267	0	0	0	0	1	0	1
OG0002268	0	1	0	0	0	0	1
OG0002272	0	0	0	0	0	1	1
OG0002274	0	0	1	0	0	0	1
OG0002279	1	0	0	0	0	0	1
OG0002293	0	0	0	0	0	1	1
OG0002297	0	0	0	0	0	1	1
OG0002303	0	0	0	0	1	0	1
OG0002313	1	0	0	0	0	0	1
OG0002320	0	0	0	0	1	0	1
OG0002322	0	1	0	0	0	0	1
OG0002326	1	0	0	0	0	0	1
OG0002331	0	0	0	0	1	0	1
OG0002333	0	0	0	0	1	0	1
OG0002338	1	0	0	0	0	0	1
OG0002339	0	1	0	0	0	0	1
OG0002348	0	0	1	0	0	0	1
OG0002351	0	0	0	0	1	0	1
OG0002352	0	1	0	0	0	0	1
OG0002354	0	1	0	0	0	0	1
OG0002371	0	0	0	0	1	0	1
OG0002372	0	0	0	0	1	0	1
OG0002373	0	0	1	0	0	0	1
OG0002379	0	1	0	0	0	0	1
OG0002380	1	0	0	0	0	0	1
OG0002381	1	0	0	0	0	0	1
OG0002382	0	0	1	0	0	0	1
OG0002390	0	0	0	0	1	0	1
OG0002391	1	0	0	0	0	0	1
OG0002394	0	0	0	0	1	0	1
OG0002404	1	0	0	0	0	0	1
OG0002419	0	0	0	0	1	0	1
OG0002429	0	0	0	0	1	0	1
OG0002441	1	0	0	0	0	0	1
OG0002446	0	1	0	0	0	0	1
OG0002448	0	0	0	0	1	0	1
OG0002452	0	0	0	0	1	0	1
OG0002453	0	0	1	0	0	0	1
OG0002458	1	0	0	0	0	0	1
OG0002460	0	0	0	0	1	0	1
OG0002462	0	0	0	0	1	0	1
OG0002472	0	0	0	0	1	0	1
OG0002473	0	1	0	0	0	0	1
OG0002475	0	0	0	0	1	0	1
OG0002477	0	0	1	0	0	0	1
OG0002481	0	1	0	0	0	0	1
OG0002482	1	0	0	0	0	0	1
OG0002488	1	0	0	0	0	0	1
OG0002493	0	0	1	0	0	0	1
OG0002496	0	0	0	0	0	1	1
OG0002497	0	0	0	0	0	1	1
OG0002498	0	0	0	0	1	0	1
OG0002502	1	0	0	0	0	0	1
OG0002507	1	0	0	0	0	0	1
OG0002517	1	0	0	0	0	0	1
OG0002519	0	0	0	0	1	0	1
OG0002521	0	1	0	0	0	0	1
OG0002522	0	0	0	0	1	0	1
OG0002532	0	0	0	0	1	0	1
OG0002543	0	1	0	0	0	0	1
OG0002544	0	0	0	0	1	0	1
OG0002546	1	0	0	0	0	0	1
OG0002547	0	1	0	0	0	0	1
OG0002558	0	0	0	0	1	0	1
OG0002559	0	0	0	0	1	0	1
OG0002563	0	0	0	1	0	0	1
OG0002567	1	0	0	0	0	0	1
OG0002572	1	0	0	0	0	0	1
OG0002578	0	0	0	0	1	0	1
OG0002579	1	0	0	0	0	0	1
OG0002584	0	0	0	0	0	1	1
OG0002589	0	0	1	0	0	0	1
OG0002591	0	0	0	0	1	0	1
OG0002592	0	0	0	0	1	0	1
OG0002598	0	0	1	0	0	0	1
OG0002602	1	0	0	0	0	0	1
OG0002604	0	0	1	0	0	0	1
OG0002605	0	0	0	0	1	0	1
OG0002608	0	0	0	0	0	1	1
OG0002610	1	0	0	0	0	0	1
OG0002611	0	0	1	0	0	0	1
OG0002612	0	0	1	0	0	0	1
OG0002621	0	0	0	0	1	0	1
OG0002634	0	0	0	0	1	0	1
OG0002636	0	1	0	0	0	0	1
OG0002644	0	0	0	0	0	1	1
OG0002646	0	0	1	0	0	0	1
OG0002653	0	0	0	0	0	1	1
OG0002660	1	0	0	0	0	0	1
OG0002668	0	0	0	0	1	0	1
OG0002670	0	0	1	0	0	0	1
OG0002674	0	1	0	0	0	0	1
OG0002679	0	1	0	0	0	0	1
OG0002680	1	0	0	0	0	0	1
OG0002690	0	0	0	0	0	1	1
