Geneid	gene_name	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam
Caust.v2_021423	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021100	NA	0	1	0	0	0	0	0	0	0	1	0	0
Caust.v2_013560	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013561	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013562	NA	14	2	0	0	0	0	0	9	0	3	3	2
Caust.v2_013563	NA	6	1	0	2	0	0	0	4	0	3	0	0
Caust.v2_013564	NA	19	24	14	10	22	18	18	12	17	26	19	23
Caust.v2_013565	NA	4	1	0	0	1	0	1	0	0	1	1	1
Caust.v2_013566	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013567	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013568	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013569	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013570	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013571	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013572	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013573	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013574	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013575	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013576	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004522	NA	117	73	92	48	93	85	54	58	69	103	120	97
Caust.v2_004523	NA	35	23	23	14	25	22	30	17	30	40	40	38
Caust.v2_004524	NA	18	16	12	6	19	8	15	5	16	21	23	17
Caust.v2_004525	NA	6	2	1	2	3	2	6	4	5	1	11	7
Caust.v2_004526	NA	0	0	3	0	1	1	3	0	3	0	5	0
Caust.v2_004527	NA	1	2	2	0	2	1	1	0	2	0	1	1
Caust.v2_004528	NA	39	61	32	18	37	26	102	30	58	67	72	70
Caust.v2_004529	NA	3	1	1	2	4	0	5	3	3	1	1	11
Caust.v2_004530	NA	6	5	6	2	6	1	3	6	5	4	14	5
Caust.v2_004531	NA	0	0	0	1	0	0	2	0	0	0	2	6
Caust.v2_004532	NA	7	2	0	2	1	1	3	2	1	2	7	6
Caust.v2_004533	NA	1858	1811	1390	701	1775	1153	2229	1055	1843	1684	2657	2160
Caust.v2_004534	NA	9	6	0	1	3	0	4	3	2	5	10	4
Caust.v2_004535	NA	101	63	46	28	50	55	114	52	83	66	177	133
Caust.v2_004536	NA	35	94	28	19	46	39	52	41	48	22	67	62
Caust.v2_004537	NA	0	1	1	2	2	1	1	2	0	1	3	2
Caust.v2_004538	NA	181	179	137	105	204	109	155	116	136	126	259	198
Caust.v2_004539	NA	62	37	33	24	42	41	83	30	60	46	128	84
Caust.v2_004540	NA	8752	6353	5315	3673	7447	4282	8245	3896	7056	7898	11361	9421
Caust.v2_004541	NA	247	201	170	126	224	170	222	129	222	238	306	285
Caust.v2_004542	NA	5	8	0	1	5	3	2	4	7	4	9	7
Caust.v2_004543	NA	737	762	549	360	737	491	630	370	594	596	830	902
Caust.v2_004544	NA	22	10	3	3	3	5	10	5	9	9	30	14
Caust.v2_004545	NA	29	15	14	10	19	6	16	10	11	13	28	22
Caust.v2_004546	NA	13	7	6	4	7	13	18	10	19	11	17	25
Caust.v2_004547	NA	48	73	43	27	40	27	39	24	47	35	40	31
Caust.v2_004548	NA	0	0	1	0	0	0	0	1	1	2	2	1
Caust.v2_004549	NA	3	3	6	1	3	1	12	0	3	8	10	5
Caust.v2_004550	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004551	NA	1	2	4	1	4	0	1	0	4	2	5	2
Caust.v2_004552	NA	5	3	2	0	1	2	5	1	0	2	9	2
Caust.v2_004553	NA	1	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_004554	NA	9	4	3	1	1	3	8	3	4	6	13	4
Caust.v2_004555	NA	10	2	1	3	10	2	7	2	2	5	11	8
Caust.v2_004556	NA	7	4	3	4	4	4	4	3	0	6	8	10
Caust.v2_004557	NA	0	0	0	0	1	0	0	0	0	0	0	1
Caust.v2_004558	NA	3	1	2	0	0	1	3	6	2	0	1	2
Caust.v2_004559	NA	1	0	0	0	0	0	1	0	0	1	2	2
Caust.v2_004560	NA	3	0	1	0	1	0	0	2	0	0	3	3
Caust.v2_004561	NA	3	1	0	0	1	0	3	1	0	3	2	2
Caust.v2_004562	NA	9	2	1	1	5	4	4	2	6	6	12	5
Caust.v2_004563	NA	668	667	427	377	684	375	629	356	500	578	772	798
Caust.v2_004564	NA	818	687	558	402	792	437	748	422	617	779	1035	865
Caust.v2_004565	NA	847	622	480	390	689	395	638	389	568	697	754	658
Caust.v2_004566	NA	5	2	0	0	0	0	0	3	0	3	2	2
Caust.v2_004567	NA	13	11	9	2	4	3	9	9	7	7	20	17
Caust.v2_004568	NA	10	3	2	1	9	3	9	8	4	10	16	15
