,SRR3948522,SRR3948580,SRR3948532,SRR3948545,SRR3948559,SRR3948571,SRR3948576,SRR3948523,SRR3948530,SRR3948535,SRR3948538,SRR3948546,SRR3948551,SRR3948569
gene-LOC117224046,4.38055813677612,5.79673001916191,5.44264443952168,4.53571440410574,5.83485065269003,5.5088618145471,4.1931634503954,5.3627494761913,5.1273407594104,5.90093254151961,4.09326206774884,4.79531558824056,3.72781745364581,5.04129200015091
gene-LOC117224047,5.60142396267547,1.57314808836849,2.50635718287939,4.19257650962642,1.77981646553029,2.56981243454503,5.82828415007969,3.79746840799069,2.6779416765196,2.4667825339403,5.70293691070213,3.49520157437581,5.50977032500383,2.12450750571176
gene-LOC117224049,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,1.11140866979995,-1.09119353283647,2.61327951739328,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.16862411898254,1.21171002233744
gene-LOC117224050,3.33146383997794,0.696837768682942,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.56981243454503,3.16104274653696,-2.81332833899805,-2.81332833899805,-2.81332833899805,3.80321176462187,1.0753014010907,3.05462257145766,-2.81332833899805
gene-LOC117224051,1.35586819057489,-2.81332833899805,2.90361321483593,0.933898857839293,1.77981646553029,1.11140866979995,1.06940728406782,-2.81332833899805,-2.81332833899805,-2.81332833899805,1.09767155522556,1.0753014010907,0.590679210094285,-2.81332833899805
gene-LOC117224055,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.933898857839293,3.03033959301314,1.11140866979995,-2.81332833899805,3.01178729263981,-2.81332833899805,2.86355199088279,-2.81332833899805,1.0753014010907,-2.81332833899805,2.12450750571176
gene-LOC117224101,-1.33439576041047,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.09119353283647,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.12325886686241,-2.81332833899805
gene-LOC117224100,1.88884879582678,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.73647136771807,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.95270163066414,-2.81332833899805,2.49364923794474,-2.81332833899805
gene-LOC117224053,4.61942055600488,-2.81332833899805,-2.81332833899805,1.82855865704425,-2.81332833899805,2.56981243454503,4.55677380245206,-2.81332833899805,1.21110056130131,-2.81332833899805,4.55414269151196,-2.81332833899805,4.49256756122983,-2.81332833899805
gene-LOC117224088,8.98932748552494,4.69559662449837,5.10808203086862,4.53571440410574,4.67385171582342,5.01505565240912,8.53329818124839,5.66895800642531,5.1273407594104,4.28712611473391,8.53207883752495,3.71244458442804,8.52221208111932,4.85041849520704
